Hour,CoolingLoad_W
1,-0.000
2,-0.000
3,-0.000
4,-0.000
5,-0.000
6,-0.000
7,-0.000
8,-0.000
9,-0.000
10,-445653.868
11,-1261061.025
12,-1644303.945
13,-1792233.915
14,-2188628.255
15,-2408237.326
16,-2339312.646
17,-2253984.931
18,-1546218.452
19,-352146.361
20,-204167.589
21,-0.000
22,-0.000
23,-0.000
24,-0.000
25,-0.000
26,-0.000
27,-0.000
28,-0.000
29,-0.000
30,-0.000
31,-0.000
32,-0.000
33,-0.000
34,-641971.214
35,-1459885.101
36,-1948827.253
37,-2154822.926
38,-2529842.708
39,-2900895.449
40,-3002401.950
41,-2962056.592
42,-1916996.719
43,-433192.616
44,-228929.695
45,-0.000
46,-0.000
47,-0.000
48,-0.000
49,-0.000
50,-0.000
51,-0.000
52,-0.000
53,-0.000
54,-0.000
55,-0.000
56,-0.000
57,-0.000
58,-476251.077
59,-1734795.638
60,-2164687.832
61,-2352756.174
62,-2838614.478
63,-3193320.469
64,-3291628.647
65,-3219811.841
66,-2195356.892
67,-544918.351
68,-310905.919
69,-0.000
70,-0.000
71,-0.000
72,-0.000
73,-0.000
74,-0.000
75,-0.000
76,-0.000
77,-0.000
78,-0.000
79,-0.000
80,-0.000
81,-0.000
82,-477751.443
83,-1858023.863
84,-2613569.850
85,-2731391.784
86,-3286783.849
87,-3588693.116
88,-3590471.262
89,-3500436.239
90,-2443259.445
91,-661259.014
92,-416531.767
93,-0.000
94,-0.000
95,-0.000
96,-0.000
97,-0.000
98,-0.000
99,-0.000
100,-0.000
101,-0.000
102,-0.000
103,-0.000
104,-0.000
105,-101280.846
106,-1332627.879
107,-2416169.125
108,-2865626.393
109,-2773632.197
110,-3171665.144
111,-3053065.734
112,-2787659.964
113,-2853070.845
114,-2538009.505
115,-764347.607
116,-518330.262
117,-0.000
118,-0.000
119,-0.000
120,-0.000
121,-0.000
122,-0.000
123,-0.000
124,-0.000
125,-0.000
126,-0.000
127,-0.000
128,-0.000
129,-0.000
130,-500425.237
131,-1312694.807
132,-1548801.658
133,-1669620.610
134,-1999572.835
135,-2270457.654
