Hour,CoolingLoad_W
365,-0.000
366,-0.000
367,-0.000
368,-0.000
369,-0.000
370,-271332.912
371,-649655.453
372,-720899.209
373,-975892.573
374,-1265954.640
375,-1665506.190
376,-1620326.875
377,-1496249.217
378,-919798.513
379,-178834.356
380,-73535.397
381,-0.000
382,-0.000
383,-0.000
384,-0.000
385,-0.000
386,-0.000
387,-0.000
388,-0.000
389,-0.000
390,-0.000
391,-0.000
392,-0.000
393,-0.000
394,-68630.978
395,-488573.509
396,-811807.093
397,-1173899.116
398,-1566539.807
399,-1873481.723
400,-2018541.810
401,-2021248.609
402,-1165895.077
403,-174569.554
404,-61294.560
405,-0.000
406,-0.000
407,-0.000
408,-0.000
409,-0.000
410,-0.000
411,-0.000
412,-0.000
413,-0.000
414,-0.000
415,-0.000
416,-0.000
417,-0.000
418,-328970.728
419,-1023031.595
420,-1307406.362
421,-1414108.273
422,-1428413.087
423,-1477637.405
424,-1401131.839
425,-1119464.155
426,-778348.024
427,-187565.704
428,-107046.334
429,-0.000
430,-0.000
431,-0.000
432,-0.000
433,-0.000
434,-0.000
435,-0.000
436,-0.000
437,-0.000
438,-0.000
439,-0.000
440,-0.000
441,-180896.373
442,-616641.884
443,-1071296.675
444,-1402061.213
445,-1497448.232
446,-1828166.901
447,-1871844.812
448,-1790121.994
449,-1382682.683
450,-1088818.926
451,-336551.339
452,-242387.967
453,-0.000
454,-0.000
455,-0.000
456,-0.000
457,-0.000
458,-0.000
459,-0.000
460,-0.000
461,-0.000
462,-0.000
463,-0.000
464,-0.000
465,-0.000
466,-563963.479
467,-1194869.607
468,-1486229.923
469,-1672120.019
470,-1777716.361
471,-1951196.339
472,-1921903.187
473,-1784032.422
474,-1168141.515
475,-0.000
476,-0.000
477,-0.000
478,-0.000
479,-0.000
480,-0.000
481,-0.000
482,-0.000
483,-0.000
484,-0.000
485,-0.000
486,-0.000
487,-0.000
488,-0.000
489,-0.000
490,-0.000
491,-0.000
492,-0.000
493,-391977.083
494,-731202.466
495,-902132.875
496,-1056806.899
497,-1037045.035
498,-606059.594
499,-0.000
500,-0.000
501,-0.000
502,-0.000
503,-0.000
504,-0.000
505,-0.000
506,-0.000
507,-0.000
508,-0.000
509,-0.000
510,-0.000
511,-0.000
512,-0.000
513,-0.000
514,-85686.017
515,-708094.389
516,-1012411.632
517,-1257055.598
518,-1420414.679
519,-1627186.958
520,-1755332.246
521,-1791812.641
522,-1231075.420
523,-132293.819
524,-17860.612
525,-0.000
526,-0.000
527,-0.000
528,-0.000
529,-0.000
530,-0.000
531,-0.000
532,-0.000
533,-0.000
