Hour,CoolingLoad_W
1,-0.000
2,-0.000
3,-0.000
4,-0.000
5,-0.000
6,-0.000
7,-0.000
8,-0.000
9,-0.000
10,-0.000
11,-0.000
12,-0.000
13,-109807.245
14,-139412.732
15,-143271.996
16,-21170.769
17,-0.000
18,-0.000
19,-0.000
20,-0.000
21,-0.000
22,-0.000
23,-0.000
24,-0.000
25,-0.000
26,-0.000
27,-0.000
28,-0.000
29,-0.000
30,-0.000
31,-0.000
32,-0.000
33,-0.000
34,-0.000
35,-0.000
36,-0.000
37,-0.000
38,-0.000
39,-0.000
40,-0.000
41,-0.000
42,-0.000
43,-0.000
44,-0.000
45,-0.000
46,-0.000
47,-0.000
48,-0.000
49,-0.000
50,-0.000
51,-0.000
52,-0.000
53,-0.000
54,-0.000
55,-0.000
56,-0.000
57,-0.000
58,-0.000
59,-0.000
60,-0.000
61,-182477.449
62,-254122.181
63,-418172.638
64,-350237.017
65,-286705.230
66,-199600.876
67,-5629.470
68,-0.000
69,-0.000
70,-0.000
71,-0.000
72,-0.000
73,-0.000
74,-0.000
75,-0.000
76,-0.000
77,-0.000
78,-0.000
79,-0.000
80,-0.000
81,-0.000
82,-0.000
83,-169651.333
84,-535664.467
85,-816814.051
86,-990326.710
87,-1073706.306
88,-813170.934
89,-759279.922
90,-623317.812
91,-134246.273
92,-23008.357
93,-0.000
94,-0.000
95,-0.000
96,-0.000
97,-0.000
98,-0.000
99,-0.000
100,-0.000
101,-0.000
102,-0.000
103,-0.000
104,-0.000
105,-0.000
106,-83065.872
107,-520620.742
108,-709999.480
109,-862687.153
110,-870718.913
111,-960501.285
112,-1119384.745
113,-1116730.106
114,-799087.772
115,-135945.920
116,-1750.401
117,-0.000
118,-0.000
119,-0.000
120,-0.000
121,-0.000
122,-0.000
123,-0.000
124,-0.000
125,-0.000
126,-0.000
127,-0.000
128,-0.000
129,-0.000
130,-0.000
131,-0.000
132,-0.000
133,-92724.326
134,-147201.571
135,-154085.193
136,-81351.053
137,-40898.091
138,-7722.729
139,-0.000
140,-0.000
141,-0.000
142,-0.000
143,-0.000
144,-0.000
