load_mode,years,target_domain,contrast,method,reference,energy_saving_kwh,energy_saving_pct,unmet_delta_kwh_equiv,reward_delta
raw,2019+2022,T1,deterministic_vs_rule,deterministic,bounded_rule,83346.05246725865,1.5067767783951134,-3518.6159738014685,118535.2706645038
raw,2019+2022,T1,llm_vs_rule,llm,bounded_rule,84047.64158666041,1.519460500800617,-3936.121761934366,123412.94162900187
raw,2019+2022,T1,llm_vs_deterministic,llm,deterministic,701.5891194017604,0.012877761525750736,-417.5057881328976,4877.670964498073
raw,2019+2022,T2,deterministic_vs_rule,deterministic,bounded_rule,119987.30159747042,1.599616970848877,-5569.122565841593,175683.13015039638
raw,2019+2022,T2,llm_vs_rule,llm,bounded_rule,119811.25597649813,1.5972700094687833,-6245.2347381141735,182263.1152536217
raw,2019+2022,T2,llm_vs_deterministic,llm,deterministic,-176.04562097229064,-0.0023851140695237976,-676.1121722725802,6579.9851032253355
raw,2019+2022,T3,deterministic_vs_rule,deterministic,bounded_rule,86863.17162866611,1.293451694797571,-7748.527299652749,164348.5814876575
raw,2019+2022,T3,llm_vs_rule,llm,bounded_rule,93191.08296541683,1.3876785977483248,-7991.592293071677,173105.53686101548
raw,2019+2022,T3,llm_vs_deterministic,llm,deterministic,6327.911336750723,0.09546165332354896,-243.06499341892777,8756.955373357981
