load_mode,years,target_domain,contrast,bootstrap_unit,bootstrap_repetitions,energy_saving_pct_bootstrap_mean,energy_saving_pct_ci95_low,energy_saving_pct_ci95_high,unmet_delta_kwh_equiv_bootstrap_mean,unmet_delta_kwh_equiv_ci95_low,unmet_delta_kwh_equiv_ci95_high,reward_delta_bootstrap_mean,reward_delta_ci95_low,reward_delta_ci95_high
raw,2019+2022,T1,deterministic_vs_rule,day stratified within weather year,5000,1.5064152306335887,1.4561396408548926,1.5535485952348922,-3518.713319699519,-3979.2633589725892,-3083.78690620407,118577.94877893357,109969.13124867699,127312.60131301009
raw,2019+2022,T1,llm_vs_rule,day stratified within weather year,5000,1.5190884837261238,1.4714237059020299,1.5643785434071682,-3935.4830214589724,-4384.6640824891565,-3523.1053942280346,123426.74355339246,115277.62536908427,131786.78213131058
raw,2019+2022,T1,llm_vs_deterministic,day stratified within weather year,5000,0.013095082589965869,-0.0018679525633488777,0.03365963930640444,-417.85762318647636,-507.83979722095063,-334.2912391106892,4890.64847111049,3645.1998713677867,6292.265027351223
raw,2019+2022,T2,deterministic_vs_rule,day stratified within weather year,5000,1.5991157477484306,1.5570234938337026,1.6391660704706306,-5567.725884792937,-6160.449742491144,-4990.88189712428,175674.84624796215,163847.18447931632,187421.81811672307
raw,2019+2022,T2,llm_vs_rule,day stratified within weather year,5000,1.596987231595795,1.5538248628339253,1.6386446732684494,-6250.906653787238,-6807.881567559385,-5703.852312999737,182317.03833771482,170910.20775132437,193736.7473331852
raw,2019+2022,T2,llm_vs_deterministic,day stratified within weather year,5000,-0.0023647381872447313,-0.01222600486772385,0.007667509454512373,-677.0464904653655,-787.3442426114866,-565.7732896945789,6591.660418903783,5297.228652536759,7929.642585397542
raw,2019+2022,T3,deterministic_vs_rule,day stratified within weather year,5000,1.2934261758133803,1.2690337802560825,1.3167398278278832,-7746.223690569197,-8096.056396991875,-7414.021215578232,164316.63735901637,157728.73373116137,170976.81135987907
raw,2019+2022,T3,llm_vs_rule,day stratified within weather year,5000,1.3876716076206035,1.363024443793087,1.4107457420230132,-7985.959931863645,-8310.25783238616,-7662.332065865168,173037.00220326695,166169.0034686903,179938.42205747546
raw,2019+2022,T3,llm_vs_deterministic,day stratified within weather year,5000,0.09529069132175577,0.08503150091455393,0.1059616212973909,-241.98229804858332,-358.98295987036767,-122.77463889482495,8738.723407754786,7116.145415767484,10344.204960187333
