load_mode,year,target_domain,contrast,bootstrap_unit,bootstrap_repetitions,energy_saving_pct_bootstrap_mean,energy_saving_pct_ci95_low,energy_saving_pct_ci95_high,unmet_delta_kwh_equiv_bootstrap_mean,unmet_delta_kwh_equiv_ci95_low,unmet_delta_kwh_equiv_ci95_high,reward_delta_bootstrap_mean,reward_delta_ci95_low,reward_delta_ci95_high
scaled,2019,T1,deterministic_vs_rule,day within weather year,5000,1.8322579861834674,1.7809284959527938,1.8784917003672705,-2208.552208267198,-2537.231764238716,-1896.1405808467998,89801.78209846998,83064.84989838205,96577.61231441099
scaled,2019,T1,llm_vs_rule,day within weather year,5000,1.8335120055067469,1.7810414687188183,1.881575411882248,-2397.1105889549613,-2720.5158299732757,-2094.352665186297,91745.31980546091,85257.76893611689,98311.2233834892
scaled,2019,T1,llm_vs_deterministic,day within weather year,5000,0.0013468854010314816,-0.0048547264801911795,0.00907369063705095,-188.83145613900427,-252.2228570504036,-128.36966197825282,1937.617248209709,1302.3499536088211,2626.020503433365
scaled,2019,T2,deterministic_vs_rule,day within weather year,5000,1.7396173564605644,1.6936384403596334,1.7840015442811812,-2184.1996176193616,-2602.724775048714,-1761.6488978760397,100839.49048058382,93249.48159603162,108578.28244106632
scaled,2019,T2,llm_vs_rule,day within weather year,5000,1.7824439130954426,1.7329870695830927,1.8292228515017377,-2648.8662115799852,-3052.238553052143,-2246.8361807764563,107389.42009647236,99707.05974175436,115199.52476377873
scaled,2019,T2,llm_vs_deterministic,day within weather year,5000,0.043534722343278515,0.030700297379164774,0.057234320453658484,-458.5043764023356,-550.4407420497545,-370.94998543069096,6526.98663728524,5405.098518764767,7694.509036361743
scaled,2019,T3,deterministic_vs_rule,day within weather year,5000,1.425330001258161,1.3962104541648106,1.4529393773613346,-5049.906117750911,-5534.612669637623,-4596.395707390774,111589.49827317396,104260.317484549,119093.62562885588
scaled,2019,T3,llm_vs_rule,day within weather year,5000,1.5229182669869656,1.4974571805770256,1.548068055304611,-4963.552012200014,-5454.411011653616,-4521.788933386929,114859.2542073247,107541.74506648781,122584.13076793919
scaled,2019,T3,llm_vs_deterministic,day within weather year,5000,0.09908225408803494,0.08746436840026496,0.11146543539807612,79.42807393535195,-14.825494485742231,177.31638510648924,3390.768791873854,2302.04962508016,4525.463527637786
scaled,2022,T1,deterministic_vs_rule,day within weather year,5000,1.7753530275022378,1.7092722265207618,1.8360819472519334,-2335.592685130413,-2703.831101068187,-1995.2600056959388,84886.17396915371,77489.46718707215,92663.67455023293
scaled,2022,T1,llm_vs_rule,day within weather year,5000,1.7933722567813943,1.7358158552338507,1.848279933793574,-2548.8638514607383,-2908.2637239834194,-2205.7895676477256,87625.77258761322,80661.31572913603,94815.7165339067
scaled,2022,T1,llm_vs_deterministic,day within weather year,5000,0.018919969633285252,-0.00250305646424132,0.050834501334023285,-214.8478854407003,-280.1147264329148,-154.13243080084752,2791.0934407239147,1762.816786433796,4003.8291086724416
scaled,2022,T2,deterministic_vs_rule,day within weather year,5000,1.7349848420435496,1.6795096881371758,1.787105168756833,-2321.6676351859705,-2727.2761472324305,-1941.375897863485,97088.49686226957,88950.30330839797,105159.48885424621
scaled,2022,T2,llm_vs_rule,day within weather year,5000,1.758588774117436,1.7012854648582934,1.8120565029670201,-2738.233592592017,-3135.809688446348,-2359.4314573650786,102301.96542818492,94093.36020080325,110637.56355770379
scaled,2022,T2,llm_vs_deterministic,day within weather year,5000,0.023402991133596698,0.005836348447916951,0.04038635384527617,-422.8850891373951,-504.13373911148665,-343.53945707343,5208.13332680088,4077.3193110521815,6337.886497694244
scaled,2022,T3,deterministic_vs_rule,day within weather year,5000,1.3674677770459782,1.332442916528074,1.4023575417196297,-4444.991985711416,-4829.409129001491,-4083.0297682404685,98030.25435668397,91471.35462304587,104837.49702806585
scaled,2022,T3,llm_vs_rule,day within weather year,5000,1.4789167795754354,1.4446519448877742,1.5099389561147663,-4413.551911366488,-4787.5113954552535,-4069.328630720461,102067.36679474154,95340.54996812955,108763.90430739924
scaled,2022,T3,llm_vs_deterministic,day within weather year,5000,0.11317290994470793,0.09912225338513059,0.12808858327354736,24.54215379036858,-67.77048502000791,122.43792933544425,4128.419498973347,3043.1880017719454,5239.578591769316
