load_mode,year,target_domain,contrast,bootstrap_unit,bootstrap_repetitions,energy_saving_pct_bootstrap_mean,energy_saving_pct_ci95_low,energy_saving_pct_ci95_high,unmet_delta_kwh_equiv_bootstrap_mean,unmet_delta_kwh_equiv_ci95_low,unmet_delta_kwh_equiv_ci95_high,reward_delta_bootstrap_mean,reward_delta_ci95_low,reward_delta_ci95_high
raw,2019,T1,deterministic_vs_rule,day within weather year,5000,1.536745156061078,1.4709167008841364,1.5976994505428168,-1888.9782460492243,-2228.328224392557,-1568.18780441792,62568.94170150609,56381.27458398031,68696.09314568192
raw,2019,T1,llm_vs_rule,day within weather year,5000,1.5422712303839354,1.476078827241615,1.6017534354674752,-2079.3674654928504,-2390.98132426596,-1772.9023184540868,64639.15313403172,58620.57601774779,70546.43714522469
raw,2019,T1,llm_vs_deterministic,day within weather year,5000,0.005205957090492695,-0.001770991033867244,0.01543857526797214,-191.90772902986114,-251.7581804058887,-136.65368072373565,2064.9631987037446,1473.3575814897063,2709.868809179652
raw,2019,T2,deterministic_vs_rule,day within weather year,5000,1.6189670449918632,1.5603678883156622,1.6735433081043218,-2870.8057341673793,-3259.4728337189576,-2501.1907783095266,91125.04876659821,83210.25900688421,99218.03048404967
raw,2019,T2,llm_vs_rule,day within weather year,5000,1.6187400959213192,1.5591144266390315,1.6732786392395245,-3171.4253886551305,-3553.845594595025,-2797.535175794504,94088.48484720374,86171.9204316595,102022.66759275807
raw,2019,T2,llm_vs_deterministic,day within weather year,5000,0.0004920770659931991,-0.006967933960984119,0.010075704108197565,-303.1648974216731,-381.8726767874066,-224.98355602793754,3047.7632064068594,2234.558999530771,3876.5645425212037
raw,2019,T3,deterministic_vs_rule,day within weather year,5000,1.2999988358326113,1.267656560647445,1.3294688848889926,-3963.33849096227,-4211.451790082855,-3715.0403491986904,84688.53385824668,80224.5159694954,89263.37531974411
raw,2019,T3,llm_vs_rule,day within weather year,5000,1.4034435775540142,1.3735527933760998,1.4328359075869193,-4092.993890042327,-4324.762438342022,-3859.9685812927346,89537.40615082813,84621.03139445362,94533.25208913139
raw,2019,T3,llm_vs_deterministic,day within weather year,5000,0.10493843119052035,0.08867937680835736,0.12139841379586773,-130.96628121874954,-220.7227116323338,-43.69782188476366,4899.529985394439,3689.4559899266833,6154.50228904986
raw,2022,T1,deterministic_vs_rule,day within weather year,5000,1.4731555360623017,1.3894853607072186,1.5468163229692928,-1635.985405756129,-1953.077336381679,-1336.2745328115182,56014.041262391234,49878.77953709114,62147.943463006995
raw,2022,T1,llm_vs_rule,day within weather year,5000,1.4935028469815768,1.4226166265529412,1.561664232820931,-1856.2904357551195,-2161.538482544443,-1582.8874363978648,58755.41813864452,53203.32985330698,64669.27725388295
raw,2022,T1,llm_vs_deterministic,day within weather year,5000,0.02095440730958253,-0.0076891553627532324,0.06235348081789843,-225.76860856353446,-290.6631974233671,-164.7331267340457,2812.4083214470975,1766.3027689260887,4069.1542737940736
raw,2022,T2,deterministic_vs_rule,day within weather year,5000,1.5782866570811755,1.515288913698049,1.636989955818179,-2703.101562639344,-3134.867451947376,-2293.464394743445,84651.51984547597,76348.37108164682,92951.57015307162
raw,2022,T2,llm_vs_rule,day within weather year,5000,1.5737057847799043,1.51175025021008,1.63270673807254,-3074.486692018889,-3494.5888080050804,-2686.9099448710967,88228.83258708165,80160.01035477202,96533.36735016872
raw,2022,T2,llm_vs_deterministic,day within weather year,5000,-0.005637234167457366,-0.023975536822273495,0.012778152524861542,-373.2378256726549,-458.5333243697662,-293.86411533810366,3527.7311912629725,2484.1060058739686,4558.19722589133
raw,2022,T3,deterministic_vs_rule,day within weather year,5000,1.28621646548558,1.2473732706249276,1.3222187474686642,-3787.9785409249334,-4027.747562101539,-3552.161348706592,79731.08757742273,74899.52015394541,84519.98052656619
raw,2022,T3,llm_vs_rule,day within weather year,5000,1.3700665681587372,1.3316547611639167,1.4062652989948607,-3898.5461601081274,-4140.431835437793,-3655.5858188030093,83554.74666616402,78378.86839037528,88670.09689963073
raw,2022,T3,llm_vs_deterministic,day within weather year,5000,0.08546468660337693,0.071458217296378,0.09954245404772133,-112.18529496463621,-190.3038089690861,-35.27162360662685,3867.763638927683,2855.557932380067,4957.184519085921
