load_mode,years,target_domain,contrast,method,reference,energy_saving_kwh,energy_saving_pct,unmet_delta_kwh_equiv,reward_delta
scaled,2019+2022,T1,deterministic_vs_rule,deterministic,bounded_rule,129228.51714985073,1.8052492279113195,-4544.601723959437,174679.25251076184
scaled,2019+2022,T1,llm_vs_rule,llm,bounded_rule,129920.54270567186,1.8149164331682859,-4947.916819029022,179405.5071067214
scaled,2019+2022,T1,llm_vs_deterministic,llm,deterministic,692.0255558211356,0.009844930794115555,-403.31509506958537,4726.254595959559
scaled,2019+2022,T2,deterministic_vs_rule,deterministic,bounded_rule,152821.7566864118,1.737899453162466,-4502.866724085296,197855.19240660034
scaled,2019+2022,T2,llm_vs_rule,llm,bounded_rule,155758.26713737473,1.7712936505437091,-5385.544797731913,209615.3227925822
scaled,2019+2022,T2,llm_vs_deterministic,llm,deterministic,2936.510450962931,0.03398481937125439,-882.6780736466171,11760.130385981873
scaled,2019+2022,T3,deterministic_vs_rule,deterministic,bounded_rule,114620.0763565749,1.397898484197684,-9486.720734581118,209485.58952894434
scaled,2019+2022,T3,llm_vs_rule,llm,bounded_rule,123178.79717179853,1.502280048357984,-9382.234393189778,216998.04612556472
scaled,2019+2022,T3,llm_vs_deterministic,llm,deterministic,8558.720815223642,0.10586139905301242,104.48634139134083,7512.456596620381
