Hour,CoolingLoad_W
1,-0.000
2,-0.000
3,-0.000
4,-0.000
5,-0.000
6,-0.000
7,-0.000
8,-0.000
9,-0.000
10,-296413.777
11,-835232.438
12,-1086632.632
13,-1179121.989
14,-1437267.024
15,-1578336.744
16,-1533256.641
17,-1476197.389
18,-996204.891
19,-232845.104
20,-136220.794
21,-0.000
22,-0.000
23,-0.000
24,-0.000
25,-0.000
26,-0.000
27,-0.000
28,-0.000
29,-0.000
30,-0.000
31,-0.000
32,-0.000
33,-0.000
34,-422253.257
35,-965119.288
36,-1284129.264
37,-1415492.484
38,-1655609.155
39,-1894651.847
40,-1961297.691
41,-1931469.763
42,-1237095.089
43,-284750.969
44,-152002.073
45,-0.000
46,-0.000
47,-0.000
48,-0.000
49,-0.000
50,-0.000
51,-0.000
52,-0.000
53,-0.000
54,-0.000
55,-0.000
56,-0.000
57,-0.000
58,-313470.130
59,-1138676.099
60,-1418645.617
61,-1538261.886
62,-1848147.511
63,-2075740.882
64,-2139924.055
65,-2088870.020
66,-1407955.541
67,-354549.096
68,-203058.219
69,-0.000
70,-0.000
71,-0.000
72,-0.000
73,-0.000
74,-0.000
75,-0.000
76,-0.000
77,-0.000
78,-0.000
79,-0.000
80,-0.000
81,-0.000
82,-307112.536
83,-1188540.215
84,-1709509.837
85,-1774853.485
86,-2121667.893
87,-2315621.890
88,-2317449.036
89,-2256328.857
90,-1558351.520
91,-426263.016
92,-267306.335
93,-0.000
94,-0.000
95,-0.000
96,-0.000
97,-0.000
98,-0.000
99,-0.000
100,-0.000
101,-0.000
102,-0.000
103,-0.000
104,-0.000
105,-59862.251
106,-857429.432
107,-1534506.137
108,-1869791.925
109,-1801245.383
110,-2039562.751
111,-1957206.778
112,-1783510.138
113,-1825648.697
114,-1610512.087
115,-488922.264
116,-328366.431
117,-0.000
118,-0.000
119,-0.000
120,-0.000
121,-0.000
122,-0.000
123,-0.000
124,-0.000
125,-0.000
126,-0.000
127,-0.000
128,-0.000
129,-0.000
130,-250946.227
131,-866513.179
132,-1022796.726
133,-1093681.100
134,-1303683.946
135,-1479249.875
