Hour,CoolingLoad_W
1,-0.000
2,-0.000
3,-0.000
4,-0.000
5,-0.000
6,-0.000
7,-0.000
8,-0.000
9,-172209.937
10,-1010399.780
11,-1444774.070
12,-1594389.686
13,-1667272.857
14,-1883440.310
15,-2018698.994
16,-1947255.588
17,-1862782.701
18,-1299993.388
19,-286797.581
20,-148941.595
21,-0.000
22,-0.000
23,-0.000
24,-0.000
25,-0.000
26,-0.000
27,-0.000
28,-0.000
29,-0.000
30,-0.000
31,-0.000
32,-0.000
33,-43186.002
34,-839659.925
35,-1296218.078
36,-1558208.615
37,-1744070.223
38,-1971357.993
39,-2217502.546
40,-2316633.910
41,-2084399.439
42,-1442416.835
43,-314099.856
44,-198229.953
45,-0.000
46,-0.000
47,-0.000
48,-0.000
49,-0.000
50,-0.000
51,-0.000
52,-0.000
53,-0.000
54,-0.000
55,-0.000
56,-0.000
57,-246871.263
58,-1062652.573
59,-1733220.978
60,-1905541.828
61,-1955804.711
62,-2227715.903
63,-2403564.278
64,-2449723.290
65,-2242320.807
66,-1542269.624
67,-320778.576
68,-183663.468
69,-0.000
70,-0.000
71,-0.000
72,-0.000
73,-0.000
74,-0.000
75,-0.000
76,-0.000
77,-0.000
78,-0.000
79,-0.000
80,-0.000
81,-295469.596
82,-1115640.827
83,-1754766.869
84,-1939251.874
85,-1976198.539
86,-2223688.195
87,-2463718.351
88,-2540580.322
89,-2291607.308
90,-1640114.330
91,-384799.247
92,-252471.775
93,-0.000
94,-0.000
95,-0.000
96,-0.000
97,-0.000
98,-0.000
99,-0.000
100,-0.000
101,-0.000
102,-0.000
103,-0.000
104,-0.000
105,-651252.262
106,-1003308.474
107,-1480650.076
108,-2145284.331
109,-2251258.271
110,-2579056.795
111,-2750295.998
112,-2869258.826
113,-2791883.151
114,-1884564.830
115,-480802.628
116,-336771.964
117,-0.000
118,-0.000
119,-0.000
120,-0.000
121,-0.000
122,-0.000
123,-0.000
124,-0.000
125,-0.000
126,-0.000
127,-0.000
128,-0.000
129,-0.000
130,-766138.967
131,-1334208.643
132,-1489509.188
133,-1620015.032
134,-1839001.368
