Hour,CoolingLoad_W
1,-0.000
2,-0.000
3,-0.000
4,-0.000
5,-0.000
6,-0.000
7,-0.000
8,-0.000
9,-0.000
10,-0.000
11,-0.000
12,-0.000
13,-133077.520
14,-188103.325
15,-193235.276
16,-57034.924
17,-2913.614
18,-0.000
19,-0.000
20,-0.000
21,-0.000
22,-0.000
23,-0.000
24,-0.000
25,-0.000
26,-0.000
27,-0.000
28,-0.000
29,-0.000
30,-0.000
31,-0.000
32,-0.000
33,-0.000
34,-0.000
35,-0.000
36,-0.000
37,-0.000
38,-0.000
39,-0.000
40,-0.000
41,-0.000
42,-0.000
43,-0.000
44,-0.000
45,-0.000
46,-0.000
47,-0.000
48,-0.000
49,-0.000
50,-0.000
51,-0.000
52,-0.000
53,-0.000
54,-0.000
55,-0.000
56,-0.000
57,-0.000
58,-0.000
59,-0.000
60,-0.000
61,-209573.835
62,-303039.915
63,-483751.556
64,-409792.415
65,-339343.595
66,-240115.021
67,-7095.816
68,-0.000
69,-0.000
70,-0.000
71,-0.000
72,-0.000
73,-0.000
74,-0.000
75,-0.000
76,-0.000
77,-0.000
78,-0.000
79,-0.000
80,-0.000
81,-0.000
82,-0.000
83,-192599.426
84,-600526.148
85,-911328.018
86,-1104484.026
87,-1190708.123
88,-901265.205
89,-834752.038
90,-682966.596
91,-147173.861
92,-27371.972
93,-0.000
94,-0.000
95,-0.000
96,-0.000
97,-0.000
98,-0.000
99,-0.000
100,-0.000
101,-0.000
102,-0.000
103,-0.000
104,-0.000
105,-0.000
106,-68475.899
107,-573228.837
108,-779298.166
109,-936279.541
110,-951856.961
111,-1048926.022
112,-1240347.345
113,-1234272.985
114,-875468.563
115,-152843.484
116,-3853.035
117,-0.000
118,-0.000
119,-0.000
120,-0.000
121,-0.000
122,-0.000
123,-0.000
124,-0.000
125,-0.000
126,-0.000
127,-0.000
128,-0.000
129,-0.000
130,-0.000
131,-0.000
132,-0.000
133,-80487.714
134,-166290.959
135,-179165.041
136,-97530.062
137,-53300.837
138,-12663.924
139,-0.000
140,-0.000
141,-0.000
142,-0.000
143,-0.000
144,-0.000
