Hour,CoolingLoad_W
371,-457591.472
372,-894990.015
373,-1314914.500
374,-1594008.261
375,-1615905.107
376,-670280.349
377,-402323.776
378,-309817.706
379,-32209.461
380,-0.000
381,-0.000
382,-0.000
383,-0.000
384,-0.000
385,-0.000
386,-0.000
387,-0.000
388,-0.000
389,-0.000
390,-0.000
391,-0.000
392,-0.000
393,-0.000
394,-0.000
395,-690550.943
396,-1329742.249
397,-1717608.294
398,-2011563.499
399,-2311026.591
400,-2430455.760
401,-2360497.760
402,-1389922.289
403,-152296.390
404,-573.424
405,-0.000
406,-0.000
407,-0.000
408,-0.000
409,-0.000
410,-0.000
411,-0.000
412,-0.000
413,-0.000
414,-0.000
415,-0.000
416,-0.000
417,-0.000
418,-0.000
419,-544349.783
420,-1152931.981
421,-1475565.195
422,-1794857.874
423,-2160884.000
424,-2179260.007
425,-2270331.758
426,-1411340.199
427,-217719.373
428,-82687.962
429,-0.000
430,-0.000
431,-0.000
432,-0.000
433,-0.000
434,-0.000
435,-0.000
436,-0.000
437,-0.000
438,-0.000
439,-0.000
440,-0.000
441,-0.000
442,-503450.124
443,-978367.808
444,-1484598.204
445,-1807015.668
446,-2305889.448
447,-2642577.112
448,-3055171.125
449,-2912563.800
450,-2116228.060
451,-654358.679
452,-483061.544
453,-0.000
454,-0.000
455,-0.000
456,-0.000
457,-0.000
458,-0.000
459,-0.000
460,-0.000
461,-0.000
462,-0.000
463,-0.000
464,-0.000
465,-0.000
466,-319565.263
467,-1397865.008
468,-1984654.735
469,-2131963.223
470,-2116553.097
471,-2033574.668
472,-2013325.426
473,-1776896.115
474,-1067808.521
475,-0.000
476,-0.000
477,-0.000
478,-0.000
479,-0.000
480,-0.000
481,-0.000
482,-0.000
483,-0.000
484,-0.000
485,-0.000
486,-0.000
487,-0.000
488,-0.000
489,-0.000
490,-0.000
491,-0.000
492,-0.000
493,-0.000
494,-283975.204
495,-886722.639
496,-1199025.198
497,-1196304.989
498,-642972.944
499,-0.000
500,-0.000
501,-0.000
502,-0.000
503,-0.000
504,-0.000
505,-0.000
506,-0.000
507,-0.000
508,-0.000
509,-0.000
510,-0.000
511,-0.000
512,-0.000
513,-0.000
514,-0.000
515,-735394.668
516,-1261634.434
517,-1566525.836
518,-1882126.439
519,-2165913.662
520,-2322499.791
521,-2351619.001
522,-1665676.400
523,-151149.942
524,-0.000
525,-0.000
526,-0.000
527,-0.000
528,-0.000
529,-0.000
530,-0.000
531,-0.000
532,-0.000
533,-0.000
534,-0.000
535,-0.000
536,-0.000
537,-0.000
538,-0.000
539,-808320.731
540,-1482893.127
541,-1723976.599
542,-2075691.356
543,-2419219.166
544,-2543725.457
545,-2530634.717
546,-1808859.243
547,-204896.894
548,-3356.153
549,-0.000
550,-0.000
551,-0.000
552,-0.000
553,-0.000
554,-0.000
555,-0.000
556,-0.000
557,-0.000
558,-0.000
559,-0.000
560,-0.000
561,-0.000
562,-73554.835
563,-1175132.360
564,-1720657.820
565,-1950624.123
566,-2305572.139
567,-2585645.152
568,-2716734.848
569,-2731612.551
570,-2095338.286
571,-335155.768
572,-63752.924
573,-0.000
574,-0.000
575,-0.000
576,-0.000
577,-0.000
578,-0.000
579,-0.000
580,-0.000
581,-0.000
582,-0.000
583,-0.000
584,-0.000
585,-0.000
586,-129222.614
587,-1348848.433
588,-1906114.290
589,-2095537.797
590,-2445525.845
591,-2825152.647
592,-2937379.495
593,-2979786.336
594,-2382237.990
595,-523728.819
596,-301214.790
597,-0.000
598,-0.000
599,-0.000
600,-0.000
601,-0.000
602,-0.000
603,-0.000
604,-0.000
605,-0.000
606,-0.000
607,-0.000
608,-0.000
609,-116657.909
610,-716201.397
611,-1346553.739
612,-1693222.334
613,-1726532.243
614,-2109337.770
615,-2477632.739
616,-2613242.339
617,-2508645.349
618,-1954052.271
619,-350162.457
620,-130919.770
621,-0.000
622,-0.000
623,-0.000
624,-0.000
625,-0.000
626,-0.000
627,-0.000
628,-0.000
629,-0.000
630,-0.000
631,-0.000
632,-0.000
633,-0.000
634,-0.000
635,-744608.179
636,-1285239.047
637,-1450094.621
638,-1796008.280
639,-2086187.252
640,-2204266.141
641,-2234548.664
642,-1601357.379
643,-0.000
644,-0.000
645,-0.000
646,-0.000
647,-0.000
648,-0.000
649,-0.000
650,-0.000
651,-0.000
652,-0.000
653,-0.000
654,-0.000
655,-0.000
656,-0.000
657,-0.000
658,-0.000
659,-0.000
660,-0.000
661,-675065.601
662,-958995.990
663,-1284943.573
664,-1189096.412
665,-1266429.215
666,-790492.871
667,-0.000
668,-0.000
669,-0.000
670,-0.000
671,-0.000
672,-0.000
673,-0.000
674,-0.000
675,-0.000
676,-0.000
677,-0.000
678,-0.000
679,-0.000
680,-0.000
681,-0.000
682,-356816.229
683,-1219460.114
684,-1777946.621
685,-2040334.475
686,-2568161.961
687,-2930686.425
688,-2946496.308
689,-3033856.347
690,-2376688.942
691,-553939.155
692,-295618.204
693,-0.000
694,-0.000
695,-0.000
696,-0.000
697,-0.000
698,-0.000
699,-0.000
700,-0.000
701,-0.000
702,-0.000
703,-0.000
704,-0.000
705,-0.000
706,-805389.190
707,-2105254.254
708,-2509954.214
709,-2664398.220
710,-3103960.448
711,-3205930.321
712,-3189098.133
713,-2993845.367
714,-2597896.578
715,-839849.228
716,-649453.460
717,-0.000
718,-0.000
719,-0.000
720,-0.000
721,-0.000
722,-0.000
723,-0.000
724,-0.000
725,-0.000
726,-0.000
727,-0.000
728,-0.000
729,-709253.305
730,-1322053.025
731,-2011398.523
732,-2598317.058
733,-2861546.988
734,-3492432.249
735,-3721905.656
736,-3603656.954
737,-3480193.648
738,-2675394.506
739,-711335.371
740,-490963.939
741,-0.000
742,-0.000
743,-0.000
744,-0.000
745,-0.000
746,-0.000
747,-0.000
748,-0.000
749,-0.000
750,-0.000
751,-0.000
752,-0.000
753,-0.000
754,-219273.074
755,-592554.981
756,-717763.128
757,-845011.977
758,-915055.838
759,-1158028.988
760,-1020410.140
761,-1035870.359
762,-1040747.437
763,-134774.937
764,-2222.421
765,-0.000
766,-0.000
767,-0.000
768,-0.000
769,-0.000
770,-0.000
771,-0.000
772,-0.000
773,-0.000
774,-0.000
775,-0.000
776,-0.000
777,-0.000
778,-128421.743
779,-696472.863
780,-1257738.260
781,-1649830.719
782,-2253478.188
783,-2647641.777
784,-2428829.371
785,-2386223.319
786,-2130625.747
787,-722662.663
788,-493421.874
789,-0.000
790,-0.000
791,-0.000
792,-0.000
793,-0.000
794,-0.000
795,-0.000
796,-0.000
797,-0.000
798,-0.000
799,-0.000
800,-0.000
801,-61244.198
802,-886106.020
803,-1498124.488
804,-1847154.129
805,-1782666.371
806,-1978564.671
807,-2064495.303
808,-1927911.707
809,-1845775.665
810,-1795403.634
811,-0.000
812,-0.000
813,-0.000
814,-0.000
815,-0.000
816,-0.000
817,-0.000
818,-0.000
819,-0.000
820,-0.000
821,-0.000
822,-0.000
823,-0.000
824,-0.000
825,-0.000
826,-0.000
827,-505020.561
828,-1065883.464
829,-1297986.779
830,-1499488.242
831,-1546712.902
832,-1281230.236
833,-1312209.629
834,-878368.130
835,-85962.220
836,-0.000
837,-0.000
838,-0.000
839,-0.000
